Date : 2026-07-19 14:38:16
Directory : c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai
Total : 59 files,  653 codes, 105 comments, 199 blanks, all 957 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         22 |        485 |         74 |         85 |        644 |
| Markdown       |         11 |        280 |          0 |        113 |        393 |
| MS SQL         |          1 |          1 |          1 |          1 |          3 |
| TypeScript JSX |         25 |       -113 |         30 |          0 |        -83 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         59 |        653 |        105 |        199 |        957 |
| app                                                                                                                            |         13 |         85 |         25 |         14 |        124 |
| app\(app)                                                                                                                      |         10 |         77 |         17 |         12 |        106 |
| app\(app) (Files)                                                                                                              |          1 |          8 |          3 |          1 |         12 |
| app\(app)\achievements                                                                                                         |          2 |         68 |          4 |          8 |         80 |
| app\(app)\dashboard                                                                                                            |          1 |         -7 |          1 |          0 |         -6 |
| app\(app)\improvement                                                                                                          |          2 |         70 |          3 |          8 |         81 |
| app\(app)\leaderboard                                                                                                          |          2 |        106 |          3 |         12 |        121 |
| app\(app)\onboarding                                                                                                           |          2 |       -168 |          3 |        -17 |       -182 |
| app\api                                                                                                                        |          3 |          8 |          8 |          2 |         18 |
| app\api\coaching                                                                                                               |          1 |         -5 |          4 |         -1 |         -2 |
| app\api\coaching\generate                                                                                                      |          1 |         -5 |          4 |         -1 |         -2 |
| app\api\onboarding                                                                                                             |          1 |          9 |          1 |          3 |         13 |
| app\api\onboarding\complete                                                                                                    |          1 |          9 |          1 |          3 |         13 |
| app\api\riot                                                                                                                   |          1 |          4 |          3 |          0 |          7 |
| app\api\riot\[riotAccountId]                                                                                                   |          1 |          4 |          3 |          0 |          7 |
| app\api\riot\[riotAccountId]\sync                                                                                              |          1 |          4 |          3 |          0 |          7 |
| docs                                                                                                                           |         11 |        280 |          0 |        113 |        393 |
| docs (Files)                                                                                                                   |          2 |         11 |          0 |          5 |         16 |
| docs\adr                                                                                                                       |          1 |         39 |          0 |          9 |         48 |
| docs\tasks                                                                                                                     |          8 |        230 |          0 |         99 |        329 |
| prisma                                                                                                                         |          2 |         22 |          4 |          3 |         29 |
| prisma (Files)                                                                                                                 |          1 |         21 |          3 |          2 |         26 |
| prisma\migrations                                                                                                              |          1 |          1 |          1 |          1 |          3 |
| prisma\migrations\20260718000001_add_onboarding_completed                                                                      |          1 |          1 |          1 |          1 |          3 |
| src                                                                                                                            |         30 |        235 |         70 |         62 |        367 |
| src\components                                                                                                                 |          6 |       -298 |        -29 |        -37 |       -364 |
| src\components\layout                                                                                                          |          1 |         11 |          0 |          0 |         11 |
| src\components\onboarding                                                                                                      |          5 |       -309 |        -29 |        -37 |       -375 |
| src\components\onboarding\tour                                                                                                 |          5 |       -309 |        -29 |        -37 |       -375 |
| src\domains                                                                                                                    |         17 |        535 |         86 |         90 |        711 |
| src\domains\analysis                                                                                                           |          2 |          3 |          3 |          0 |          6 |
| src\domains\analysis\components                                                                                                |          2 |          3 |          3 |          0 |          6 |
| src\domains\onboarding                                                                                                         |         12 |        513 |         77 |         85 |        675 |
| src\domains\onboarding (Files)                                                                                                 |          3 |       -119 |          3 |          2 |       -114 |
| src\domains\onboarding\guide                                                                                                   |          7 |        594 |         69 |         74 |        737 |
| src\domains\onboarding\preview                                                                                                 |          2 |         38 |          5 |          9 |         52 |
| src\domains\riot                                                                                                               |          3 |         19 |          6 |          5 |         30 |
| src\domains\riot\components                                                                                                    |          1 |          0 |          2 |          0 |          2 |
| src\domains\riot\services                                                                                                      |          2 |         19 |          4 |          5 |         28 |
| src\hooks                                                                                                                      |          4 |        -16 |          5 |          0 |        -11 |
| src\inngest                                                                                                                    |          1 |        -36 |          0 |         -7 |        -43 |
| src\inngest\functions                                                                                                          |          1 |        -36 |          0 |         -7 |        -43 |
| src\lib                                                                                                                        |          2 |         50 |          8 |         16 |         74 |
| src\lib\inngest                                                                                                                |          2 |         50 |          8 |         16 |         74 |
| tests                                                                                                                          |          3 |         31 |          6 |          7 |         44 |
| tests\e2e                                                                                                                      |          3 |         31 |          6 |          7 |         44 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                       | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\AchievementsPreview.tsx                          | TypeScript JSX |         64 |          3 |          7 |         74 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\PageClient.tsx                                   | TypeScript JSX |          4 |          1 |          1 |          6 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\dashboard\PageClient.tsx                                      | TypeScript JSX |         -7 |          1 |          0 |         -6 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\improvement\ImprovementHistoryPreview.tsx                     | TypeScript JSX |         63 |          3 |          8 |         74 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\improvement\PageClient.tsx                                    | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\layout.tsx                                                    | TypeScript JSX |          8 |          3 |          1 |         12 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\leaderboard\LeaderboardPreview.tsx                            | TypeScript JSX |         99 |          3 |         12 |        114 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\leaderboard\PageClient.tsx                                    | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\onboarding\PageClient.tsx                                     | TypeScript JSX |       -166 |          0 |        -16 |       -182 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\onboarding\page.tsx                                           | TypeScript JSX |         -2 |          3 |         -1 |          0 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\coaching\generate\route.ts                                      | TypeScript     |         -5 |          4 |         -1 |         -2 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\onboarding\complete\route.ts                                    | TypeScript     |          9 |          1 |          3 |         13 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\riot\[riotAccountId]\sync\route.ts                              | TypeScript     |          4 |          3 |          0 |          7 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\API_DESIGN.md                                                      | Markdown       |         10 |          0 |          5 |         15 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\DATABASE_SCHEMA.md                                                 | Markdown       |          1 |          0 |          0 |          1 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\adr\ADR-010-guided-onboarding.md                                   | Markdown       |         39 |          0 |          9 |         48 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-217-forced-onboarding.md                                | Markdown       |         35 |          0 |         14 |         49 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-218-onboarding-per-user-progress.md                     | Markdown       |         29 |          0 |         14 |         43 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-219-content-rich-onboarding-previews.md                 | Markdown       |         38 |          0 |         14 |         52 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-220-onboarding-trap-fixes.md                            | Markdown       |         37 |          0 |         14 |         51 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-221-tilt-block-and-auto-sync.md                         | Markdown       |         30 |          0 |         12 |         42 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-222-allow-shared-riot-accounts.md                       | Markdown       |         22 |          0 |         12 |         34 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-223-inngest-in-process-fallback.md                      | Markdown       |         25 |          0 |         11 |         36 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-224-no-email-verify-for-report-gen.md                   | Markdown       |         14 |          0 |          8 |         22 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\prisma\migrations\20260718000001_add_onboarding_completed\migration.sql | MS SQL         |          1 |          1 |          1 |          3 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\prisma\seed.ts                                                          | TypeScript     |         21 |          3 |          2 |         26 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\layout\AppShell.tsx                                      | TypeScript JSX |         11 |          0 |          0 |         11 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\onboarding\tour\CoachMascot.tsx                          | TypeScript JSX |        -97 |         -5 |        -12 |       -114 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\onboarding\tour\CoachTour.tsx                            | TypeScript JSX |        -85 |         -8 |        -14 |       -107 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\onboarding\tour\Confetti.tsx                             | TypeScript JSX |        -23 |         -2 |         -2 |        -27 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\onboarding\tour\SpotlightOverlay.tsx                     | TypeScript JSX |        -34 |         -6 |         -4 |        -44 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\components\onboarding\tour\tourSteps.ts                             | TypeScript     |        -70 |         -8 |         -5 |        -83 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\analysis\components\RecentMatchList.tsx                     | TypeScript JSX |          1 |          1 |          0 |          2 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\analysis\components\TiltBreakModal.tsx                      | TypeScript JSX |          2 |          2 |          0 |          4 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\OnboardingFlow.tsx                               | TypeScript JSX |       -194 |         -2 |        -18 |       -214 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\CoachBubble.tsx                            | TypeScript JSX |        105 |          8 |         13 |        126 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\Confetti.tsx                               | TypeScript JSX |         23 |          1 |          2 |         26 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\GuidedOnboarding.tsx                       | TypeScript JSX |         27 |          4 |          6 |         37 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\SpotlightOverlay.tsx                       | TypeScript JSX |         36 |         13 |          8 |         57 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\guideSteps.test.ts                         | TypeScript     |         84 |          9 |         14 |        107 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\guideSteps.ts                              | TypeScript     |        177 |         15 |          9 |        201 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\useGuidedOnboarding.ts                     | TypeScript     |        142 |         19 |         22 |        183 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\onboardingService.test.ts                        | TypeScript     |         46 |          0 |         14 |         60 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\onboardingService.ts                             | TypeScript     |         29 |          5 |          6 |         40 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\preview\OnboardingPreviewContext.tsx             | TypeScript JSX |         22 |          3 |          6 |         31 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\preview\PreviewBadge.tsx                         | TypeScript JSX |         16 |          2 |          3 |         21 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\components\AccountConnectionForm.tsx                   | TypeScript JSX |          0 |          2 |          0 |          2 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\services\accountService.ts                             | TypeScript     |         -9 |          1 |          0 |         -8 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\services\matchSyncService.ts                           | TypeScript     |         28 |          3 |          5 |         36 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useAutoSync.test.ts                                           | TypeScript     |         21 |          0 |          6 |         27 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useAutoSync.ts                                                | TypeScript     |         28 |          7 |          6 |         41 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useCompleteOnboarding.ts                                      | TypeScript     |         11 |          2 |          4 |         17 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useOnboardingFlow.ts                                          | TypeScript     |        -76 |         -4 |        -16 |        -96 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\inngest\functions\matchSync.ts                                      | TypeScript     |        -36 |          0 |         -7 |        -43 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\lib\inngest\dispatch.test.ts                                        | TypeScript     |         32 |          0 |         13 |         45 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\lib\inngest\dispatch.ts                                             | TypeScript     |         18 |          8 |          3 |         29 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\tests\e2e\global-setup.ts                                               | TypeScript     |          0 |          2 |          0 |          2 |
| c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\tests\e2e\guided-onboarding.spec.ts                                     | TypeScript     |         49 |         10 |         14 |         73 |
